word,transcription,definition
𐁐𐀵𐀜,*18-to-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁒𐀊𐀫,*22-ja-ro,meaning obscure; anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁒𐀪𐀲𐀫,*22-ri-ta-ro,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁓𐀐𐀳𐀯,*34-ke-te-si,anthroponym or theonym receiving offerings dative plural Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁓𐀿,*34-zo,anthroponym KN Da: tu-ni-ja KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁔𐀅,*47-da,"McArthur 1993: plausible toponym Witczak 1992: toponym cf. Ἁλαί Ἀλαι (where *47 = a4) """"Myc. -d- and Classical -λ- is irregular though it is attested elsewhere as is da-pu2-ri-to-jo""""  toponym? McArthur 1993  allative of *47-da OLE: KN Fp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 """"The Phonetic Value of the Linear B Sign *47"""""
𐁔𐀓𐀵𐀆,*47-ku-to-de,"Witczak 1992: toponym allative cf. Ἄκυτος (where *47 = a4) a small island near Crete; its sister island Καῦδα has been proposed for ka-u-da on KN Fs 21. McArthur 1993  toponym allative OLE: KN Fp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 """"The Phonetic Value of the Linear B Sign *47"""""
𐁔𐀰𐀆,*47-so-de,"Witczak 1992: toponym allative cf. Ἄσος (where *47 = a4) on Crete which has a sanctuary of Zeus Asios McArthur 1993  toponym allative KN Fh: e-ra-deallative KN Fh: OLE Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 """"The Phonetic Value of the Linear B Sign *47"""""
𐁔𐀴𐀍,*47-ti-jo,anthroponym KN K: a-ro-we me-wo-ni-joanthroponym KN V: a-nu-moanthroponym ja-ma-ra [[po-mi-ni-jo]] ta-za-roanthroponym [[wa-du-na]] Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁕𐀺,*49-wo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
