Character, Total Occurrences, Correct Predictions, Recall
q, 173, 166, 0.9595
e, 10596, 9552, 0.9015
a, 8298, 7329, 0.8832
i, 7824, 6822, 0.8719
n, 4170, 3557, 0.8530
s, 4681, 3985, 0.8513
r, 4257, 3618, 0.8499
o, 6052, 5096, 0.8420
l, 3309, 2710, 0.8190
u, 3774, 3079, 0.8158
c, 2205, 1788, 0.8109
t, 3716, 3002, 0.8079
h, 1506, 1182, 0.7849
g, 1519, 1149, 0.7564
p, 1625, 1225, 0.7538
d, 2197, 1656, 0.7538
m, 1912, 1424, 0.7448
b, 1230, 852, 0.6927
f, 781, 536, 0.6863
v, 683, 449, 0.6574
x, 183, 114, 0.6230
y, 878, 543, 0.6185
w, 531, 302, 0.5687
k, 517, 275, 0.5319
z, 246, 114, 0.4634
j, 183, 75, 0.4098
æ, 49, 12, 0.2449
œ, 17, 4, 0.2353
