Character, Total Occurrences, Correct Predictions, Recall, Precision
e, 21398, 19256, 0.8999, 0.6959
a, 16628, 14728, 0.8857, 0.5682
i, 15596, 13800, 0.8848, 0.6411
o, 11962, 10134, 0.8472, 0.5374
s, 9424, 7992, 0.8480, 0.5659
r, 8668, 7222, 0.8332, 0.5522
n, 8462, 7174, 0.8478, 0.6543
u, 7574, 6244, 0.8244, 0.4784
t, 7418, 5842, 0.7875, 0.5369
l, 6384, 5212, 0.8164, 0.5310
c, 4572, 3758, 0.8220, 0.5255
d, 4266, 3300, 0.7736, 0.4536
m, 3684, 2692, 0.7307, 0.4613
g, 3038, 2270, 0.7472, 0.4970
p, 3026, 2284, 0.7548, 0.4715
h, 2974, 2256, 0.7586, 0.4638
b, 2518, 1752, 0.6958, 0.4117
y, 1766, 1126, 0.6376, 0.2651
f, 1640, 1128, 0.6878, 0.4776
v, 1392, 910, 0.6537, 0.4246
w, 1092, 646, 0.5916, 0.3325
k, 1022, 570, 0.5577, 0.3403
z, 502, 248, 0.4940, 0.3647
x, 408, 246, 0.6029, 0.4598
q, 338, 318, 0.9408, 0.8858
j, 288, 128, 0.4444, 0.2826
æ, 132, 22, 0.1667, 0.1043
œ, 52, 14, 0.2692, 0.2979
