Character, Total Occurrences, Correct Predictions, Recall
q, 26, 25, 0.9615
e, 3143, 2886, 0.9182
i, 2186, 1983, 0.9071
a, 2251, 2025, 0.8996
s, 1227, 1089, 0.8875
r, 1135, 999, 0.8802
o, 1756, 1541, 0.8776
n, 1161, 1012, 0.8717
t, 1005, 856, 0.8517
c, 620, 524, 0.8452
u, 898, 742, 0.8263
l, 925, 758, 0.8195
d, 702, 562, 0.8006
m, 428, 327, 0.7640
g, 453, 343, 0.7572
f, 236, 174, 0.7373
v, 184, 132, 0.7174
p, 428, 306, 0.7150
h, 348, 248, 0.7126
b, 301, 208, 0.6910
y, 267, 184, 0.6891
x, 42, 26, 0.6190
w, 157, 95, 0.6051
k, 182, 100, 0.5495
z, 50, 24, 0.4800
j, 33, 14, 0.4242
