Character, Total Occurrences, Correct Predictions, Recall, Precision
e, 6258, 5766, 0.9214, 0.7534
i, 4548, 4120, 0.9059, 0.6924
a, 4258, 3868, 0.9084, 0.5479
o, 3460, 3026, 0.8746, 0.5546
s, 2440, 2098, 0.8598, 0.5451
n, 2318, 2002, 0.8637, 0.6754
r, 2282, 1984, 0.8694, 0.5533
t, 2138, 1836, 0.8587, 0.5911
u, 1868, 1556, 0.8330, 0.4531
l, 1738, 1454, 0.8366, 0.5136
d, 1298, 1078, 0.8305, 0.5316
c, 1256, 1064, 0.8471, 0.5556
g, 952, 770, 0.8088, 0.5891
m, 942, 674, 0.7155, 0.4591
p, 864, 646, 0.7477, 0.4950
h, 694, 534, 0.7695, 0.4036
y, 576, 448, 0.7778, 0.3625
b, 574, 356, 0.6202, 0.3539
v, 402, 286, 0.7114, 0.4696
f, 398, 280, 0.7035, 0.4223
k, 352, 180, 0.5114, 0.3462
w, 324, 196, 0.6049, 0.3427
z, 132, 66, 0.5000, 0.4049
x, 84, 54, 0.6429, 0.2328
j, 72, 38, 0.5278, 0.3065
q, 60, 54, 0.9000, 0.7500
