Character, Total Occurrences, Correct Predictions, Recall
q, 83, 76, 0.9157
e, 8696, 7812, 0.8983
a, 6822, 5956, 0.8731
i, 5607, 4828, 0.8611
r, 3586, 3040, 0.8477
n, 3227, 2716, 0.8416
o, 4949, 4087, 0.8258
s, 2966, 2348, 0.7916
c, 1649, 1302, 0.7896
t, 2519, 1977, 0.7848
l, 2732, 2127, 0.7786
u, 2504, 1868, 0.7460
h, 1272, 903, 0.7099
g, 1242, 867, 0.6981
m, 1478, 1029, 0.6962
d, 1671, 1161, 0.6948
f, 638, 431, 0.6755
p, 1084, 729, 0.6725
b, 1119, 718, 0.6416
y, 680, 395, 0.5809
k, 863, 485, 0.5620
v, 525, 295, 0.5619
w, 501, 273, 0.5449
z, 324, 152, 0.4691
x, 126, 59, 0.4683
j, 136, 35, 0.2574
