Character, Total Occurrences, Correct Predictions, Recall, Precision
e, 17558, 15680, 0.8930, 0.7201
a, 13890, 12164, 0.8757, 0.5740
i, 10986, 9458, 0.8609, 0.6079
o, 9976, 8250, 0.8270, 0.5106
r, 7104, 6010, 0.8460, 0.5757
n, 6446, 5358, 0.8312, 0.6196
s, 6072, 4832, 0.7958, 0.4989
l, 5528, 4336, 0.7844, 0.5071
t, 5080, 3932, 0.7740, 0.5276
u, 4764, 3508, 0.7364, 0.3975
c, 3358, 2636, 0.7850, 0.5190
d, 3240, 2246, 0.6932, 0.4099
m, 2962, 2034, 0.6867, 0.4437
h, 2520, 1790, 0.7103, 0.4199
g, 2514, 1740, 0.6921, 0.4661
b, 2096, 1306, 0.6231, 0.3746
p, 1882, 1252, 0.6652, 0.3966
k, 1854, 1048, 0.5653, 0.3835
y, 1526, 872, 0.5714, 0.2591
f, 1336, 906, 0.6781, 0.4916
v, 1044, 610, 0.5843, 0.3880
w, 1010, 566, 0.5604, 0.3535
z, 642, 290, 0.4517, 0.2996
j, 268, 90, 0.3358, 0.2663
x, 196, 90, 0.4592, 0.2564
q, 146, 136, 0.9315, 0.8242
